FULL NAME,NICKNAME,GENDER,DATE OF BIRTH,PHONE NUMBER,PROGRAM SELECTED,BRANCH,CHECKLIST A,CHECKLIST B,CHECKLIST C,CHECKLIST D,CHECKLIST E,ADMISSION STATUS,,,
Participant 2423,Participant 2423,Wanita,05/03/2002,85000002423,Arts - Movement,Yogyakarta,Yes,Yes,Yes,Yes,No,No,,,
Participant 2458,Participant 2458,Pria,25/05/1989,85000002458,Arts - Movement,Yogyakarta,No,Yes,Yes,Yes,No,Yes,,,
Participant 2459,Participant 2459,Pria,08/07/1996,85000002459,Arts - Movement,Yogyakarta,Yes,No,Yes,No,Yes,Yes,,,
Participant 2439,Participant 2439,Wanita,01/03/1995,85000002439,Arts - Percussion,Yogyakarta,No,Yes,Yes,Yes,Yes,Yes,,,
Participant 2444,Participant 2444,Wanita,14/10/1990,85000002444,Arts - Percussion,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,
Participant 2445,Participant 2445,Wanita,16/09/1999,85000002445,Arts - Percussion,Yogyakarta,Yes,Yes,Yes,No,Yes,Yes,,,
Participant 2447,Participant 2447,Wanita,27/02/1997,85000002447,Arts - Percussion,Yogyakarta,Yes,Yes,Yes,No,Yes,Yes,,,
Participant 2448,Participant 2448,Wanita,19/05/1998,85000002448,Arts - Percussion,Yogyakarta,Yes,Yes,No,No,Yes,Yes,,,
Participant 2457,Participant 2457,Wanita,27/10/2000,85000002457,Arts - Percussion,Yogyakarta,Yes,Yes,Yes,No,Yes,Yes,,,
Participant 2463,Participant 2463,Wanita,03/11/1988,85000002463,Arts - Percussion,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,
Participant 2465,Participant 2465,Wanita,20/12/1995,85000002465,Arts - Percussion,Yogyakarta,Yes,Yes,Yes,Yes,No,No,,,
Participant 2493,Participant 2493,Wanita,01/01/1996,85000002493,Arts - Percussion,Yogyakarta,No,Yes,Yes,No,Yes,Yes,,,
Participant 2496,Participant 2496,Wanita,19/03/1996,85000002496,Arts - Percussion,Yogyakarta,Yes,No,No,No,Yes,Yes,,,
Participant 2510,Participant 2510,Wanita,30/04/1997,85000002510,Arts - Percussion,Yogyakarta,No,Yes,No,Yes,No,Yes,,,
Participant 2437,Participant 2437,Pria,16/11/2000,85000002437,Audio - Engineer,Yogyakarta,Yes,Yes,Yes,No,Yes,Yes,,,
Participant 2492,Participant 2492,Pria,02/07/1993,85000002492,Audio - Engineer,Yogyakarta,No,Yes,Yes,Yes,No,Yes,,,
Participant 2428,Participant 2428,Pria,12/11/1994,85000002428,Music - Bass,Yogyakarta,No,No,Yes,No,Yes,Yes,,,
Participant 2446,Participant 2446,Pria,22/12/1991,85000002446,Music - Bass,Yogyakarta,No,Yes,No,No,Yes,No,,,
Participant 2466,Participant 2466,Pria,20/09/1996,85000002466,Music - Bass,Yogyakarta,Yes,Yes,No,No,Yes,Yes,,,
