FULL NAME,NICKNAME,GENDER,DATE OF BIRTH,PHONE NUMBER,PROGRAM SELECTED,BRANCH,CHECKLIST A,CHECKLIST B,CHECKLIST C,CHECKLIST D,CHECKLIST E,ADMISSION STATUS,KETERANGAN PENGUJI 1,KETERANGAN PENGUJI 2,KETERANGAN PENGUJI 3,
Participant 1,Participant 1,Pria,31/01/2003,85000000001,Arts - Flag,Solo,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 138,Participant 138,Wanita,03/01/1986,85000000138,Arts - Flag,Magelang,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 286,Participant 286,Pria,06/01/1999,85000000286,Arts - Flag,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,Bagus,Kurang,,
Participant 368,Participant 368,Pria,19/01/1999,85000000368,Arts - Flag,Sragen,Yes,Yes,Yes,No,No,Yes,Bagus,,,
Participant 466,Participant 466,Pria,03/07/2003,85000000466,Arts - Flag,Bali,Yes,Yes,Yes,No,No,No,,,,
PARTICIPANT 696,PARTICIPANT 696,Wanita,31/01/2003,85000000696,Arts - Flag,Magelang,Yes,Yes,Yes,Yes,Yes,Yes,,,,
PARTICIPANT 867,PARTICIPANT 867,Wanita,31/01/2003,85000000867,Arts - Flag,Magelang,Yes,Yes,Yes,Yes,Yes,Yes,,,,
PARTICIPANT 1181,PARTICIPANT 1181,Wanita,31/01/2003,85000001181,Arts - Flag,Magelang,Yes,Yes,Yes,Yes,Yes,Yes,,,Kurang,
PARTICIPANT 1296,PARTICIPANT 1296,Wanita,31/01/2003,85000001296,Arts - Flag,Magelang,Yes,Yes,Yes,Yes,Yes,Yes,,,,
PARTICIPANT 1394,PARTICIPANT 1394,Wanita,31/01/2003,85000001394,Arts - Flag,Magelang,Yes,Yes,Yes,Yes,Yes,Yes,,,,
PARTICIPANT 1638,PARTICIPANT 1638,Wanita,31/01/2003,85000001638,Arts - Flag,Magelang,Yes,Yes,Yes,No,Yes,Yes,,,,
Participant 502,Participant 502,Pria,17/03/1999,85000000502,Arts - Flag,Sragen,Yes,Yes,Yes,Yes,Yes,Yes,,,,
