FULL NAME,NICKNAME,GENDER,DATE OF BIRTH,PHONE NUMBER,PROGRAM SELECTED,BRANCH,CHECKLIST A,CHECKLIST B,CHECKLIST C,CHECKLIST D,CHECKLIST E,ADMISSION STATUS,PERUBAHAN,,,
Participant 1135,Participant 1135,Wanita,22/11/2004,85000001135,Arts - Flag,Solo (Open Class),No,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2748,Participant 2748,Wanita,20/06/1999,85000002748,Arts - Flag,Yogyakarta,Yes,Yes,Yes,No,Yes,Yes,,,,
Participant 2788,Participant 2788,Wanita,14/04/1999,85000002788,Arts - Flag,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
participant 1349,participant 1349,Wanita,06/05/2004,85000001349,Arts - Flag,Solo (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 413,Participant 413,Pria,20/01/2002,85000000413,Arts - Flag,Jakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 482,Participant 482,Wanita,01/08/1998,85000000482,Arts - Flag,Solo,Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 801,Participant 801,Pria,30/06/1979,85000000801,Arts - Flag,Bali,Yes,Yes,No,Yes,Yes,Yes,,,,
participant 2561,participant 2561,Wanita,26/04/1990,85000002561,Arts - Movement,Yogyakarta,No,Yes,Yes,Yes,No,Yes,,,,
participant 2563,participant 2563,Pria,09/01/1991,85000002563,Arts - Movement,Yogyakarta,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 2630,Participant 2630,Wanita,17/09/1995,85000002630,Arts - Movement,Yogyakarta,Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 913,Participant 913,Wanita,16/11/2005,85000000913,Arts - Movement,Solo (Open Class),Yes,Yes,Yes,Yes,No,Yes,,,,
Participant 938,Participant 938,Wanita,26/01/1998,85000000938,Arts - Movement,Bali,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 957,Participant 957,Wanita,25/12/2000,85000000957,Arts - Movement,Solo (Open Class),Yes,Yes,Yes,Yes,No,Yes,,,,
Participant 962,Participant 962,Wanita,28/09/1997,85000000962,Arts - Movement,Jakarta (Open Class),Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 967,Participant 967,Wanita,01/02/2004,85000000967,Arts - Movement,Jakarta (Open Class),Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 969,Participant 969,Wanita,02/10/2005,85000000969,Arts - Movement,Bali,Yes,Yes,Yes,Yes,Yes,Yes,,,,
