FULL NAME,NICKNAME,GENDER,DATE OF BIRTH,PHONE NUMBER,PROGRAM SELECTED,BRANCH,CHECKLIST A,CHECKLIST B,CHECKLIST C,CHECKLIST D,CHECKLIST E,YEAR,ADMISSION STATUS,,,
PARTICIPANT 103,PARTICIPANT 103,Wanita,07/12/2001,85000000103,Arts - Percussion,Solo,Completed,Completed,Completed,Not Completed,Not Completed,2019,Yes,,,
Participant 1084,Participant 1084,Wanita,26/03/1989,85000001084,Vocal - Singer,Solo (Open Class),Completed,Completed,Completed,Completed,Not Completed,2019,No,,,
participant 1147,participant 1147,Wanita,02/08/2004,85000001147,Arts - Percussion,Solo (Open Class),Completed,Completed,Not Completed,Completed,Not Completed,2019,No,,,
Participant 1187,Participant 1187,Wanita,29/07/1987,85000001187,Vocal - Singer,Solo (Open Class),Not Completed,Not Completed,Completed,Completed,Not Completed,2019,No,,,
participant 1232,participant 1232,Wanita,19/01/2006,85000001232,Arts - Percussion,Solo (Open Class),Completed,Completed,Not Completed,Completed,No,2019,No,,,
Participant 1239,Participant 1239,Wanita,30/05/2005,85000001239,Arts - Percussion,Solo (Open Class),Completed,Completed,Completed,Completed,Completed,2019,Yes,,,
Participant 1272,Participant 1272,Wanita,01/11/2006,85000001272,Arts - Movement,Solo (Open Class),Not Completed,Not Completed,Not Completed,Completed,Completed,2019,Yes,,,
Participant 1289,Participant 1289,Pria,10/07/1979,85000001289,Vocal - Choir,Yogyakarta (Open Class),Completed,Completed,Completed,Completed,Not Completed,2019,Yes,,,
Participant 1307,Participant 1307,Wanita,05/12/2003,85000001307,Music - Guitar,Yogyakarta (Open Class),Completed,Completed,Completed,Completed,Completed,2019,No,,,
PARTICIPANT 131,PARTICIPANT 131,Pria,20/06/1997,85000000131,Vocal - Singer,Yogyakarta,Completed,Completed,Completed,Completed,Completed,2019,No,,,
Participant 1322,Participant 1322,Pria,16/03/1977,85000001322,Music - Bass,Yogyakarta (Open Class),Completed,Completed,Completed,Completed,Completed,2019,No,,,
Participant 1332,Participant 1332,Wanita,31/05/2002,85000001332,Vocal - Singer,Jakarta (Open Class),Not Completed,Completed,Completed,Completed,Completed,2019,No,,,
Participant 1341,Participant 1341,Pria,08/01/1999,85000001341,Vocal - Singer,Yogyakarta (Open Class),Completed,Not Completed,Completed,Completed,Completed,2019,Yes,,,
Participant 1346,Participant 1346,Wanita,22/10/1994,85000001346,Visual - Makeup,Yogyakarta (Open Class),Not Completed,Completed,Completed,Not Completed,Completed,2019,Yes,,,
Participant 1348,Participant 1348,Pria,01/09/2000,85000001348,Vocal - Singer,Yogyakarta (Open Class),Completed,Completed,Completed,Completed,Completed,2019,Yes,,,
PARTICIPANT 1351,PARTICIPANT 1351,Wanita,21/05/1998,85000001351,Vocal - Singer,Yogyakarta (Open Class),Completed,Completed,Not Completed,Completed,Completed,2019,No,,,
