FULL NAME,NICKNAME,GENDER,DATE OF BIRTH,PHONE NUMBER,PROGRAM SELECTED,BRANCH,ADMISSION STATUS,FINAL GRADE,GRADUATION STATUS,
Participant 2458,Participant 2458,Pria,25/05/1989,85000002458,Arts - Movement,Yogyakarta,Yes,A,PASSED,
Participant 2459,Participant 2459,Pria,08/07/1996,85000002459,Arts - Movement,Yogyakarta,Yes,A,PASSED,
Participant 2447,Participant 2447,Wanita,27/02/1997,85000002447,Arts - Percussion,Yogyakarta,Yes,A,PASSED,
Participant 2448,Participant 2448,Wanita,19/05/1998,85000002448,Arts - Percussion,Yogyakarta,Yes,A,PASSED,
Participant 2457,Participant 2457,Wanita,27/10/2000,85000002457,Arts - Percussion,Yogyakarta,Yes,A,PASSED,
Participant 2463,Participant 2463,Wanita,03/11/1988,85000002463,Arts - Percussion,Yogyakarta,Yes,B,PASSED,
Participant 2493,Participant 2493,Wanita,01/01/1996,85000002493,Arts - Percussion,Yogyakarta,Yes,A,PASSED,
Participant 2496,Participant 2496,Wanita,19/03/1996,85000002496,Arts - Percussion,Yogyakarta,Yes,B,PASSED,
Participant 2510,Participant 2510,Wanita,30/04/1997,85000002510,Arts - Percussion,Yogyakarta,Yes,A,PASSED,
Participant 2492,Participant 2492,Pria,02/07/1993,85000002492,Audio - Engineer,Yogyakarta,Yes,A,PASSED,
Participant 2428,Participant 2428,Pria,12/11/1994,85000002428,Music - Bass,Yogyakarta,Yes,B,PASSED,
Participant 2427,Participant 2427,Pria,20/04/1996,85000002427,Music - Drum,Yogyakarta,Yes,A,PASSED,
Participant 2433,Participant 2433,Pria,07/08/1995,85000002433,Music - Drum,Yogyakarta,Yes,A,PASSED,
Participant 2453,Participant 2453,Pria,28/05/1992,85000002453,Music - Drum,Yogyakarta,Yes,B,PASSED,
Participant 2455,Participant 2455,Pria,28/12/1960,85000002455,Music - Drum,Yogyakarta,Yes,B,PASSED,
Participant 2473,Participant 2473,Pria,03/10/1995,85000002473,Music - Drum,Yogyakarta,Yes,B,PASSED,
Participant 2488,Participant 2488,Pria,26/01/1996,85000002488,Music - Drum,Yogyakarta,Yes,A,PASSED,
Participant 2495,Participant 2495,Wanita,24/10/1990,85000002495,Music - Drum,Yogyakarta,Yes,A,PASSED,
Participant 2500,Participant 2500,Pria,08/04/1996,85000002500,Music - Drum,Yogyakarta,Yes,A,PASSED,
Participant 2501,Participant 2501,Pria,10/01/1993,85000002501,Music - Drum,Yogyakarta,Yes,A,PASSED,
Participant 2508,Participant 2508,Pria,18/07/1998,85000002508,Music - Drum,Yogyakarta,Yes,B,PASSED,
participant 2422,participant 2422,Pria,17/01/1998,85000002422,Music - Guitar,Solo  (Open Class),Yes,A,PASSED,
Participant 2430,Participant 2430,Pria,03/03/1980,85000002430,Music - Guitar,Yogyakarta,Yes,B,PASSED,
Participant 2438,Participant 2438,Pria,24/05/1996,85000002438,Music - Guitar,Yogyakarta,Yes,A,PASSED,
Participant 2432,Participant 2432,Pria,06/11/1981,85000002432,Music - Keyboard,Yogyakarta,Yes,A,PASSED,
Participant 2435,Participant 2435,Pria,24/03/1996,85000002435,Music - Keyboard,Yogyakarta,Yes,A,PASSED,
Participant 2477,Participant 2477,Pria,28/10/1986,85000002477,Music - Keyboard,Yogyakarta,Yes,A,PASSED,
Participant 2490,Participant 2490,Wanita,19/11/1996,85000002490,Music - Saxophone,Yogyakarta,Yes,A,PASSED,
Participant 2452,Participant 2452,Wanita,03/03/1979,85000002452,Vocal - Lead,Yogyakarta,Yes,A,PASSED,
Participant 2475,Participant 2475,Wanita,10/04/1990,85000002475,Vocal - Lead,Yogyakarta,Yes,A,PASSED,
Participant 2483,Participant 2483,Wanita,15/05/1993,85000002483,Vocal - Choir,Yogyakarta,Yes,A,PASSED,
Participant 2424,Participant 2424,Pria,17/09/1985,85000002424,Vocal - Singer,Yogyakarta,Yes,A,PASSED,
Participant 2425,Participant 2425,Wanita,10/09/1991,85000002425,Vocal - Singer,Yogyakarta,Yes,B,PASSED,
Participant 2431,Participant 2431,Wanita,08/10/1992,85000002431,Vocal - Singer,Yogyakarta,No,A,PASSED,
Participant 2436,Participant 2436,Pria,17/01/1992,85000002436,Vocal - Singer,Yogyakarta,Yes,B,PASSED,
Participant 2440,Participant 2440,Wanita,29/05/1989,85000002440,Vocal - Singer,Yogyakarta,Yes,A,PASSED,
Participant 2449,Participant 2449,Wanita,13/10/1998,85000002449,Vocal - Singer,Yogyakarta,Yes,A,PASSED,
Participant 2451,Participant 2451,Wanita,04/03/2002,85000002451,Vocal - Singer,Yogyakarta,No,A,PASSED,
Participant 2454,Participant 2454,Pria,06/05/1984,85000002454,Vocal - Singer,Yogyakarta,Yes,A,PASSED,
Participant 2461,Participant 2461,Pria,10/10/1983,85000002461,Vocal - Singer,Yogyakarta,Yes,A,PASSED,
Participant 2462,Participant 2462,Pria,19/06/1988,85000002462,Vocal - Singer,Yogyakarta,No,A,PASSED,
Participant 2464,Participant 2464,Pria,18/11/1989,85000002464,Vocal - Singer,Yogyakarta,Yes,A,PASSED,
Participant 2469,Participant 2469,Wanita,08/03/1987,85000002469,Vocal - Singer,Yogyakarta,Yes,A,PASSED,
Participant 2471,Participant 2471,Wanita,20/03/1997,85000002471,Vocal - Singer,Yogyakarta,Yes,B,PASSED,
Participant 2474,Participant 2474,Wanita,06/10/1992,85000002474,Vocal - Singer,Yogyakarta,Yes,A,PASSED,
Participant 2476,Participant 2476,Pria,31/12/1988,85000002476,Vocal - Singer,Yogyakarta,Yes,A,PASSED,
Participant 2481,Participant 2481,Pria,21/07/1994,85000002481,Vocal - Singer,Yogyakarta,Yes,B,PASSED,
Participant 2487,Participant 2487,Pria,25/12/1986,85000002487,Vocal - Singer,Yogyakarta,Yes,B,PASSED,
Participant 2497,Participant 2497,Wanita,30/01/1998,85000002497,Vocal - Singer,Yogyakarta,Yes,B,PASSED,
Participant 2498,Participant 2498,Wanita,01/01/2000,85000002498,Vocal - Singer,Yogyakarta,Yes,A,PASSED,
Participant 2499,Participant 2499,Wanita,29/08/1992,85000002499,Vocal - Singer,Yogyakarta,Yes,A,PASSED,
Participant 2504,Participant 2504,Wanita,10/09/1975,85000002504,Vocal - Singer,Yogyakarta,Yes,A,PASSED,
Participant 2507,Participant 2507,Pria,17/01/1998,85000002507,Vocal - Singer,Yogyakarta,Yes,A,PASSED,
