FULL NAME,NICKNAME,GENDER,DATE OF BIRTH,PHONE NUMBER,PROGRAM SELECTED,BRANCH,ADMISSION STATUS,KETERANGAN PENGUJI 1,KETERANGAN PENGUJI 2,KETERANGAN PENGUJI 3,FINAL GRACE,GRADUATION STATUS,,
Participant 1,Participant 1,Pria,31/01/2003,85000000001,Arts - Flag,Solo,No,Good,,,,,,
Participant 138,Participant 138,Wanita,03/01/1986,85000000138,Arts - Flag,Magelang,Yes,Good,The Best!!!!!!!!!!!!,,A,PASSED,,
Participant 286,Participant 286,Pria,06/01/1999,85000000286,Arts - Flag,Yogyakarta,Yes,Standard,,,C,PASSED,,
Participant 368,Participant 368,Pria,19/01/1999,85000000368,Arts - Flag,Sragen,Yes,Good,Standard,Good,A,PASSED,,
Participant 466,Participant 466,Pria,03/07/2003,85000000466,Arts - Flag,Bali,No,Bad,Not Good at all,Standard,,,,
PARTICIPANT 696,PARTICIPANT 696,Wanita,31/01/2003,85000000696,Arts - Flag,Magelang,Yes,Good,,Good,C,PASSED,,
PARTICIPANT 867,PARTICIPANT 867,Wanita,31/01/2003,85000000867,Arts - Flag,Magelang,Yes,Good,Good,,A,PASSED,,
PARTICIPANT 1181,PARTICIPANT 1181,Wanita,31/01/2003,85000001181,Arts - Flag,Magelang,Yes,Good,Standard,Bad,A,PASSED,,
PARTICIPANT 1296,PARTICIPANT 1296,Wanita,31/01/2003,85000001296,Arts - Flag,Magelang,Yes,Good,Good,,A,PASSED,,
PARTICIPANT 1394,PARTICIPANT 1394,Wanita,31/01/2003,85000001394,Arts - Flag,Magelang,Yes,Standard,,,C,PASSED,,
PARTICIPANT 1638,PARTICIPANT 1638,Wanita,31/01/2003,85000001638,Arts - Flag,Magelang,Yes,Good,,,C,PASSED,,
Participant 502,Participant 502,Pria,17/03/1999,85000000502,Arts - Flag,Sragen,Yes,Good,,,C,PASSED,,
Participant 520,Participant 520,Wanita,11/07/2002,85000000520,Arts - Flag,Yogyakarta,Yes,Good,,,B,PASSED,,
Participant 555,Participant 555,Wanita,16/10/1998,85000000555,Arts - Flag,Yogyakarta,Yes,Good,,,B,PASSED,,
Participant 592,Participant 592,Wanita,25/02/1995,85000000592,Arts - Flag,Yogyakarta,No,Standard,,,,,,
Participant 661,Participant 661,Wanita,11/12/2003,85000000661,Arts - Flag,Solo,Yes,Good,,,C,PASSED,,
Participant 715,Participant 715,Wanita,03/04/2000,85000000715,Arts - Flag,Magelang,Yes,Bad,,,C,PASSED,,
Participant 739,Participant 739,Pria,16/07/1994,85000000739,Arts - Flag,Bali,Yes,Good,,,C,PASSED,,
Participant 784,Participant 784,Pria,13/12/1998,85000000784,Arts - Flag,Yogyakarta,Yes,Good,,,C,PASSED,,
Participant 2,Participant 2,Wanita,13/11/1999,85000000002,Arts - Movement,Solo,No,Good,,,,,,
Participant 94,Participant 94,Wanita,30/05/2000,85000000094,Arts - Movement,Solo,Yes,Good,,,C,PASSED,,
Participant 120,Participant 120,Wanita,16/06/1994,85000000120,Arts - Movement,Nias,Yes,Standard,,,C,PASSED,,
participant 139,participant 139,Wanita,01/03/2004,85000000139,Arts - Movement,Solo,Yes,Good,,,A,PASSED,,
Participant 150,Participant 150,Wanita,19/07/2002,85000000150,Arts - Movement,Solo,Yes,Good,,,C,PASSED,,
Participant 151,Participant 151,Wanita,07/09/1999,85000000151,Arts - Movement,Solo,No,Good,,,,,,
Participant 204,Participant 204,Wanita,07/08/2003,85000000204,Arts - Movement,Solo,Yes,Good,,,C,PASSED,,
Participant 222,Participant 222,Wanita,30/05/2000,85000000222,Arts - Movement,Solo,No,Good,,,,,,
Participant 338,Participant 338,Wanita,03/05/2003,85000000338,Arts - Movement,Solo,Yes,Standard,,,C,PASSED,,
Participant 425,Participant 425,Wanita,15/02/2004,85000000425,Arts - Movement,Yogyakarta,No,Good,,,,,,
Participant 464,Participant 464,Wanita,25/01/1995,85000000464,Arts - Movement,Surabaya,Yes,Good,,,B,PASSED,,
Participant 478,Participant 478,Wanita,15/09/2000,85000000478,Arts - Movement,Bali,No,Good,,,,,,
PARTICIPANT 553,PARTICIPANT 553,Wanita,10/03/2004,85000000553,Arts - Movement,Solo,Yes,Good,,,B,PASSED,,
Participant 559,Participant 559,Wanita,13/05/1997,85000000559,Arts - Movement,Bali,Yes,Good,,,C,PASSED,,
Participant 573,Participant 573,Pria,03/08/2004,85000000573,Arts - Movement,Bali,Yes,Good,,,C,PASSED,,
Participant 625,Participant 625,Wanita,21/05/1999,85000000625,Arts - Movement,Solo,Yes,Standard,,,C,PASSED,,
Participant 767,Participant 767,Pria,21/04/2000,85000000767,Arts - Movement,Solo,Yes,Good,,,C,PASSED,,
Participant 781,Participant 781,Wanita,26/10/1999,85000000781,Arts - Movement,Solo,Yes,Bad,,,C,PASSED,,
Participant 595,Participant 595,Pria,22/08/1998,85000000595,Arts - Movement,Yogyakarta,Yes,Good,,,C,PASSED,,
Participant 5,Participant 5,Wanita,29/05/1994,85000000005,Arts - Percussion,Solo,Yes,Good,,,C,PASSED,,
Participant 7,Participant 7,Wanita,10/04/2003,85000000007,Arts - Percussion,Solo,Yes,Good,,,C,PASSED,,
Participant 9,Participant 9,Wanita,13/09/2004,85000000009,Arts - Percussion,Solo,Yes,Good,,,C,PASSED,,
Participant 10,Participant 10,Wanita,06/08/2002,85000000010,Arts - Percussion,Solo,Yes,Standard,,,C,PASSED,,
Participant 12,Participant 12,Wanita,27/11/2003,85000000012,Arts - Percussion,Solo,Yes,Good,,,C,PASSED,,
Participant 14,Participant 14,Wanita,22/10/2004,85000000014,Arts - Percussion,Jakarta,No,Good,,,,,,
Participant 96,Participant 96,Wanita,11/01/2000,85000000096,Arts - Percussion,Jakarta,Yes,Good,,,C,PASSED,,
Participant 100,Participant 100,Wanita,30/04/1989,85000000100,Arts - Percussion,Solo,Yes,Good,,,C,PASSED,,
Participant 105,Participant 105,Wanita,20/01/1998,85000000105,Arts - Percussion,Ngawi,Yes,Standard,,,C,PASSED,,
Participant 114,Participant 114,Wanita,01/03/1996,85000000114,Arts - Percussion,Solo,Yes,Good,,,C,PASSED,,
Participant 132,Participant 132,Wanita,11/02/1992,85000000132,Arts - Percussion,Solo,No,Bad,,,,,,
participant 155,participant 155,Wanita,13/10/1994,85000000155,Arts - Percussion,Jakarta,Yes,Good,,,C,PASSED,,
participant 161,participant 161,Wanita,23/12/1982,85000000161,Arts - Percussion,Madiun,Yes,Good,,,A,PASSED,,
Participant 169,Participant 169,Wanita,15/02/1981,85000000169,Arts - Percussion,Madiun,Yes,Good,,,C,PASSED,,
Participant 191,Participant 191,Wanita,14/04/1993,85000000191,Arts - Percussion,Yogyakarta,Yes,Good,,,C,PASSED,,
Participant 207,Participant 207,Wanita,13/05/2002,85000000207,Arts - Percussion,Yogyakarta,Yes,Standard,,,C,PASSED,,
