FULL NAME,NICKNAME,GENDER,DATE OF BIRTH,PHONE NUMBER,PROGRAM SELECTED,BRANCH,ADMISSION STATUS,CATATAN WALI KELAS,FINAL GRADE,GRADUATION STATUS,
Participant 1412,Participant 1412,Wanita,28/02/1995,85000001412,Arts - Flag,Solo (Open Class),Yes,,A,PASSED,
Participant 1450,Participant 1450,Wanita,27/08/1988,85000001450,Arts - Flag,Nias,Yes,,B,PASSED,
Participant 2877,Participant 2877,Pria,14/02/2000,85000002877,Arts - Flag,Yogyakarta,Yes,,B,PASSED,
Participant 1547,Participant 1547,Wanita,10/10/2004,85000001547,Arts - Flag,Solo (Open Class),No,,,,
Participant 325,Participant 325,Wanita,09/06/2001,85000000325,Arts - Flag,Samarinda,No,,,,
Participant 1683,Participant 1683,Pria,03/08/2000,85000001683,Arts - Flag,Yogyakarta (Open Class),Yes,,B,PASSED,
Participant 1691,Participant 1691,Wanita,16/04/2000,85000001691,Arts - Flag,Yogyakarta (Open Class),Yes,,B,PASSED,
Participant 1740,Participant 1740,Wanita,26/06/1997,85000001740,Arts - Flag,Malang,No,,,,
Participant 1761,Participant 1761,Pria,26/03/2005,85000001761,Arts - Flag,Yogyakarta (Open Class),No,,,,
PARTICIPANT 1794,PARTICIPANT 1794,Wanita,31/01/2003,85000001794,Arts - Flag,Magelang,Yes,,B,PASSED,
Participant 1308,Participant 1308,Wanita,30/11/2004,85000001308,Arts - Movement,Yogyakarta (Open Class),Yes,,B,PASSED,
Participant 2829,Participant 2829,Wanita,03/07/1997,85000002829,Arts - Movement,Yogyakarta,Yes,,B,PASSED,
Participant 1402,Participant 1402,Wanita,19/11/1971,85000001402,Arts - Movement,Solo  (Open Class),No,,,,
Participant 1403,Participant 1403,Wanita,26/08/1974,85000001403,Arts - Movement,Solo  (Open Class),No,,,,
Participant 2850,Participant 2850,Wanita,20/06/1998,85000002850,Arts - Movement,Yogyakarta,Yes,,B,PASSED,
Participant 1430,Participant 1430,Wanita,29/07/2000,85000001430,Arts - Movement,Nias,Yes,,C,PASSED,
Participant 1442,Participant 1442,Wanita,29/10/1997,85000001442,Arts - Movement,Nias,No,,,,
Participant 1489,Participant 1489,Wanita,11/05/2006,85000001489,Arts - Movement,Solo (Open Class),No,,,,
PARTICIPANT 1513,PARTICIPANT 1513,Wanita,21/02/2004,85000001513,Arts - Movement,Nias,Yes,,C,PASSED,
Participant 1514,Participant 1514,Pria,19/02/2004,85000001514,Arts - Movement,Solo (Open Class),Yes,,C,PASSED,
Participant 2873,Participant 2873,Wanita,12/10/1992,85000002873,Arts - Movement,Yogyakarta,Yes,,B,PASSED,
Participant 1525,Participant 1525,Wanita,03/08/2005,85000001525,Arts - Movement,Solo (Open Class),No,,,,
Participant 2881,Participant 2881,Wanita,18/11/2001,85000002881,Arts - Movement,Yogyakarta,No,,,,
Participant 1529,Participant 1529,Wanita,08/06/2003,85000001529,Arts - Movement,Solo (Open Class),Yes,,B,PASSED,
Participant 1578,Participant 1578,Wanita,08/11/1993,85000001578,Arts - Movement,Surabaya,Yes,,B,PASSED,
Participant 1654,Participant 1654,Wanita,28/08/1988,85000001654,Arts - Movement,Ngawi,No,,,,
Participant 1668,Participant 1668,Wanita,05/07/2003,85000001668,Arts - Movement,Yogyakarta (Open Class),No,,,,
Participant 1669,Participant 1669,Wanita,01/05/2003,85000001669,Arts - Movement,Yogyakarta (Open Class),Yes,,A,PASSED,
Participant 1670,Participant 1670,Wanita,03/03/2000,85000001670,Arts - Movement,Yogyakarta (Open Class),Yes,,B,PASSED,
Participant 1671,Participant 1671,Wanita,19/05/2004,85000001671,Arts - Movement,Yogyakarta (Open Class),Yes,,B,PASSED,
Participant 2902,Participant 2902,Wanita,30/11/1999,85000002902,Arts - Movement,Yogyakarta,No,,,,
Participant 2907,Participant 2907,Wanita,23/08/2001,85000002907,Arts - Movement,Yogyakarta,No,,,,
Participant 2914,Participant 2914,Wanita,20/04/2000,85000002914,Arts - Movement,Yogyakarta,Yes,,B,PASSED,
Participant 2917,Participant 2917,Wanita,22/03/1995,85000002917,Arts - Movement,Yogyakarta,Yes,,B,PASSED,
Participant 2939,Participant 2939,Wanita,07/04/2005,85000002939,Arts - Movement,Yogyakarta,No,,,,
Participant 2960,Participant 2960,Wanita,13/09/1999,85000002960,Arts - Movement,Yogyakarta,No,,,,
Participant 1257,Participant 1257,Wanita,18/04/2003,85000001257,Arts - Percussion,Solo (Open Class),Yes,,B,PASSED,
Participant 1270,Participant 1270,Wanita,22/07/2004,85000001270,Arts - Percussion,Solo (Open Class),Yes,,B,PASSED,
Participant 13,Participant 13,Wanita,07/04/1997,85000000013,Arts - Percussion,Solo,Yes,,B,PASSED,
Participant 1364,Participant 1364,Wanita,23/06/2001,85000001364,Arts - Percussion,Yogyakarta (Open Class),No,,,,
Participant 1721,Participant 1721,Wanita,19/11/1997,85000001721,Arts - Percussion,Yogyakarta (Open Class),No,,,,
Participant 2824,Participant 2824,Wanita,22/08/1996,85000002824,Arts - Percussion,Yogyakarta,Yes,,B,PASSED,
Participant 2827,Participant 2827,Wanita,08/06/1988,85000002827,Arts - Percussion,Yogyakarta,Yes,,B,PASSED,
Participant 2833,Participant 2833,Wanita,16/04/1999,85000002833,Arts - Percussion,Yogyakarta,No,,,,
Participant 2835,Participant 2835,Wanita,24/07/1996,85000002835,Arts - Percussion,Yogyakarta,No,,,,
Participant 1382,Participant 1382,Wanita,08/04/1995,85000001382,Arts - Percussion,Yogyakarta (Open Class),Yes,,A,PASSED,
Participant 1386,Participant 1386,Wanita,07/02/2005,85000001386,Arts - Percussion,Yogyakarta (Open Class),Yes,,C,PASSED,
Participant 1388,Participant 1388,Wanita,22/12/1995,85000001388,Arts - Percussion,Yogyakarta (Open Class),Yes,,C,PASSED,
Participant 2839,Participant 2839,Wanita,07/06/1995,85000002839,Arts - Percussion,Yogyakarta,No,,,,
Participant 2840,Participant 2840,Wanita,16/01/1985,85000002840,Arts - Percussion,Yogyakarta,No,,,,
Participant 1408,Participant 1408,Wanita,01/04/2005,85000001408,Arts - Percussion,Solo (Open Class),Yes,,A,PASSED,
Participant 2851,Participant 2851,Wanita,27/05/1984,85000002851,Arts - Percussion,Yogyakarta,Yes,,B,PASSED,
Participant 277,Participant 277,Wanita,25/12/2003,85000000277,Arts - Percussion,Samarinda,No,,,,
participant 1432,participant 1432,Wanita,08/01/2005,85000001432,Arts - Percussion,Nias,No,,,,
PARTICIPANT 1436,PARTICIPANT 1436,Wanita,21/04/1993,85000001436,Arts - Percussion,Nias,Yes,,A,PASSED,
Participant 1438,Participant 1438,Wanita,07/05/1998,85000001438,Arts - Percussion,Nias,Yes,,A,PASSED,
Participant 1440,Participant 1440,Wanita,16/06/1990,85000001440,Arts - Percussion,Nias,Yes,,B,PASSED,
Participant 1441,Participant 1441,Wanita,10/10/1998,85000001441,Arts - Percussion,Nias,No,,,,
Participant 1443,Participant 1443,Wanita,01/03/1995,85000001443,Arts - Percussion,Nias,No,,,,
Participant 1444,Participant 1444,Wanita,17/11/1999,85000001444,Arts - Percussion,Nias,Yes,,C,PASSED,
Participant 1445,Participant 1445,Wanita,29/06/2001,85000001445,Arts - Percussion,Nias,Yes,,B,PASSED,
Participant 2862,Participant 2862,Wanita,26/08/2002,85000002862,Arts - Percussion,Yogyakarta,No,,,,
Participant 1453,Participant 1453,Wanita,15/07/2006,85000001453,Arts - Percussion,Solo (Open Class),No,,,,
Participant 1454,Participant 1454,Wanita,29/09/2004,85000001454,Arts - Percussion,Solo (Open Class),Yes,,C,PASSED,
Participant 1457,Participant 1457,Wanita,23/12/1990,85000001457,Arts - Percussion,Nias,Yes,,A,PASSED,
Participant 1458,Participant 1458,Wanita,10/07/2003,85000001458,Arts - Percussion,Nias,Yes,,A,PASSED,
participant 1460,participant 1460,Wanita,28/08/2006,85000001460,Arts - Percussion,Solo (Open Class),No,,,,
Participant 2866,Participant 2866,Wanita,09/04/1996,85000002866,Arts - Percussion,Yogyakarta,No,,,,
Participant 1468,Participant 1468,Wanita,22/09/2004,85000001468,Arts - Percussion,Yogyakarta (Open Class),Yes,,A,PASSED,
Participant 1469,Participant 1469,Wanita,06/02/2004,85000001469,Arts - Percussion,Solo (Open Class),Yes,,B,PASSED,
Participant 1476,Participant 1476,Wanita,09/12/1989,85000001476,Arts - Percussion,Magelang,No,,,,
Participant 1488,Participant 1488,Wanita,17/05/1980,85000001488,Arts - Percussion,Magelang,No,,,,
Participant 1500,Participant 1500,Wanita,29/11/1992,85000001500,Arts - Percussion,Jakarta (Open Class),Yes,,A,PASSED,
Participant 1511,Participant 1511,Wanita,22/04/2002,85000001511,Arts - Percussion,Jakarta (Open Class),Yes,,A,PASSED,
Participant 1515,Participant 1515,Wanita,12/07/1999,85000001515,Arts - Percussion,Yogyakarta (Open Class),Yes,,A,PASSED,
Participant 1516,Participant 1516,Wanita,03/10/1996,85000001516,Arts - Percussion,Bandung,No,,,,
Participant 2944,Participant 2944,Wanita,30/01/1991,85000002944,Arts - Percussion,Yogyakarta,No,,,,
Participant 2875,Participant 2875,Wanita,11/09/1999,85000002875,Arts - Percussion,Yogyakarta,Yes,,C,PASSED,
Participant 2882,Participant 2882,Wanita,26/08/1999,85000002882,Arts - Percussion,Yogyakarta,Yes,,C,PASSED,
Participant 2888,Participant 2888,Wanita,23/07/1998,85000002888,Arts - Percussion,Yogyakarta,No,,,,
Participant 1531,Participant 1531,Wanita,23/10/2005,85000001531,Arts - Percussion,Solo (Open Class),No,,,,
Participant 1533,Participant 1533,Wanita,18/12/1999,85000001533,Arts - Percussion,Solo (Open Class),Yes,,C,PASSED,
Participant 1535,Participant 1535,Wanita,18/05/2003,85000001535,Arts - Percussion,Jakarta (Open Class),Yes,,B,PASSED,
participant 1541,participant 1541,Wanita,12/07/1999,85000001541,Arts - Percussion,Yogyakarta (Open Class),Yes,,A,PASSED,
participant 1574,participant 1574,Wanita,09/09/1994,85000001574,Arts - Percussion,Jakarta (Open Class),No,,,,
Participant 1586,Participant 1586,Wanita,19/03/2002,85000001586,Arts - Percussion,Solo (Open Class),No,,,,
Participant 1588,Participant 1588,Wanita,15/07/1986,85000001588,Arts - Percussion,Solo (Open Class),Yes,,A,PASSED,
PARTICIPANT 1600,PARTICIPANT 1600,Wanita,19/11/1986,85000001600,Arts - Percussion,Klaten,Yes,,A,PASSED,
Participant 1619,Participant 1619,Wanita,23/10/2005,85000001619,Arts - Percussion,Solo (Open Class),No,,,,
Participant 1627,Participant 1627,Wanita,03/08/1998,85000001627,Arts - Percussion,Jakarta (Open Class),No,,,,
Participant 1630,Participant 1630,Wanita,24/09/2002,85000001630,Arts - Percussion,Solo (Open Class),Yes,,A,PASSED,
Participant 1634,Participant 1634,Wanita,13/06/2004,85000001634,Arts - Percussion,Solo (Open Class),Yes,,A,PASSED,
Participant 1643,Participant 1643,Wanita,09/01/1990,85000001643,Arts - Percussion,Klaten,Yes,,A,PASSED,
Participant 1666,Participant 1666,Wanita,01/08/1997,85000001666,Arts - Percussion,Jakarta (Open Class),No,,,,
